127.0.0.1 - - [17/Mar/2021:09:20:25 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Mar/2021:09:20:28 +0900] "GET /StudyJSP2/js3/test6.html HTTP/1.1" 200 983
0:0:0:0:0:0:0:1 - - [17/Mar/2021:09:20:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Mar/2021:09:26:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Mar/2021:09:26:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Mar/2021:09:26:14 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Mar/2021:09:27:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Mar/2021:09:29:40 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Mar/2021:09:29:42 +0900] "GET /StudyJSP2/js3/test6.html HTTP/1.1" 200 1368
0:0:0:0:0:0:0:1 - - [17/Mar/2021:09:29:42 +0900] "GET /StudyJSP2/js3/1.jpg HTTP/1.1" 200 5292
0:0:0:0:0:0:0:1 - - [17/Mar/2021:09:32:07 +0900] "GET /StudyJSP2/js3/test6.html HTTP/1.1" 200 1539
0:0:0:0:0:0:0:1 - - [17/Mar/2021:09:32:07 +0900] "GET /StudyJSP2/js3/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:09:32:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Mar/2021:09:32:50 +0900] "GET /StudyJSP2/js3/test6.html HTTP/1.1" 200 1557
0:0:0:0:0:0:0:1 - - [17/Mar/2021:09:33:31 +0900] "GET /StudyJSP2/js3/test6.html HTTP/1.1" 200 1549
0:0:0:0:0:0:0:1 - - [17/Mar/2021:09:33:31 +0900] "GET /StudyJSP2/js3/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:09:33:31 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Mar/2021:09:33:46 +0900] "GET /StudyJSP2/js3/test6.html HTTP/1.1" 200 1547
