0:0:0:0:0:0:0:1 - - [02/Apr/2021:15:17:56 +0900] "GET /StudyJSP2/JSP4/cookieTest.jsp HTTP/1.1" 200 1539
0:0:0:0:0:0:0:1 - - [02/Apr/2021:15:17:57 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Apr/2021:15:18:22 +0900] "GET /StudyJSP2/JSP4/cookieTest.jsp HTTP/1.1" 200 1520
0:0:0:0:0:0:0:1 - - [02/Apr/2021:15:18:22 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Apr/2021:15:28:17 +0900] "GET /StudyJSP2/JSP4/cookieTest.jsp HTTP/1.1" 200 1641
0:0:0:0:0:0:0:1 - - [02/Apr/2021:15:28:18 +0900] "GET /StudyJSP2/JSP4/cookieSet.jsp HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [02/Apr/2021:15:28:19 +0900] "GET /StudyJSP2/JSP4/cookieTest.jsp HTTP/1.1" 200 1660
0:0:0:0:0:0:0:1 - - [02/Apr/2021:15:28:20 +0900] "GET /StudyJSP2/JSP4/cookieDel.jsp HTTP/1.1" 200 467
0:0:0:0:0:0:0:1 - - [02/Apr/2021:15:28:21 +0900] "GET /StudyJSP2/JSP4/cookieTest.jsp HTTP/1.1" 200 1641
0:0:0:0:0:0:0:1 - - [02/Apr/2021:15:33:52 +0900] "GET /StudyJSP2/JSP4/cookieForm.jsp HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [02/Apr/2021:15:33:52 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Apr/2021:15:35:58 +0900] "GET /StudyJSP2/JSP4/cookieForm.jsp HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [02/Apr/2021:15:35:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Apr/2021:15:36:21 +0900] "GET /StudyJSP2/JSP4/cookieForm.jsp HTTP/1.1" 200 603
