127.0.0.1 - - [04/Mar/2021:09:32:55 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Mar/2021:09:32:59 +0900] "GET /StudyJSP2/js1/test6.html HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [04/Mar/2021:09:33:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Mar/2021:09:43:57 +0900] "GET /StudyJSP2/js1/test6.html HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [04/Mar/2021:09:45:43 +0900] "GET /StudyJSP2/js1/test6.html HTTP/1.1" 200 1022
0:0:0:0:0:0:0:1 - - [04/Mar/2021:09:45:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Mar/2021:09:46:03 +0900] "GET /StudyJSP2/js1/test6.html HTTP/1.1" 200 1022
0:0:0:0:0:0:0:1 - - [04/Mar/2021:09:46:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Mar/2021:09:47:24 +0900] "GET /StudyJSP2/js1/test6.html HTTP/1.1" 200 1070
0:0:0:0:0:0:0:1 - - [04/Mar/2021:09:47:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Mar/2021:09:47:48 +0900] "GET /StudyJSP2/js1/test6.html HTTP/1.1" 200 1071
0:0:0:0:0:0:0:1 - - [04/Mar/2021:09:48:29 +0900] "GET /StudyJSP2/js1/test6.html HTTP/1.1" 200 1073
0:0:0:0:0:0:0:1 - - [04/Mar/2021:09:49:43 +0900] "GET /StudyJSP2/js1/test6.html HTTP/1.1" 200 1117
0:0:0:0:0:0:0:1 - - [04/Mar/2021:09:59:52 +0900] "GET /StudyJSP2/js1/test6.html HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [04/Mar/2021:10:00:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
